Method,CV_MSE,MSE,R2
ElasticNet,482.4999453213592,472.58058327002357,0.08378166690924405
KNN,486.3539056421178,461.4509861007904,0.10535923765031707
SVR,479.1860483197148,458.6362281774597,0.1108163658182224
XGBoost,508.618833562149,410.35702393547757,0.20441795166302723
Ensemble,NA,442.35425776960284,0.14238312991016955
