Method,CV_MSE,MSE_train,R2_train,MSE_test,R2_test
ElasticNet,567.3200359188627,551.7073387668105,0.06947663821495431,363.34670998031413,0.02833629087002254
KNN,573.3761988713943,549.7549642853617,0.07276956172400495,381.5863540958386,-0.020440262674281007
SVR,569.7066657726826,537.2950830761968,0.09378470822560869,362.9364790538337,0.029433332600895423
XGBoost,597.1341867111053,421.7126295805538,0.28872895788981046,424.67003410957955,-0.13565486948161576
Ensemble,NA,505.0641065610077,0.14814627732774677,368.0875051133032,0.0156584312482988
