"Parameter","True_Beta","OLS_Mean","OLS_Bias","OLS_Var","OLS_MSE","MM_Mean","MM_Bias","MM_Var","MM_MSE"
"Intercept",1,0.998753811212795,-0.00124618878720451,0.00938057027904103,0.00938212326553439,0.998489404984786,-0.00151059501521389,0.0102222729708314,0.0102245548681314
"X1",2,1.59568391480879,-0.404316085191209,0.0070565692809491,0.170528066025294,2.00281069216054,0.00281069216053975,0.0145133667667804,0.0145212667572017
