"Parameter","True_Beta","OLS_Mean","OLS_Bias","OLS_Var","OLS_MSE","MM_Mean","MM_Bias","MM_Var","MM_MSE"
"Intercept",1,0.999213803691981,-0.00078619630801946,0.0109371386133521,0.0109377567179868,0.999376557180343,-0.000623442819656761,0.0114801271556872,0.0114805158366366
"Z1",0,0.00135598306224225,0.00135598306224225,0.0220937128074527,0.0220955514975178,0.001249555218184,0.001249555218184,0.023167670597009,0.0231692319852523
"Z2",0,0.000905506078394366,0.000905506078394366,0.00558454806871532,0.00558536800997333,0.000442924590214656,0.000442924590214656,0.00587543010729333,0.00587562628948594
"X1",0.25,0.30803990340116,0.0580399034011605,0.00502956652680869,0.00839819691362473,0.23385618316723,-0.0161438168327702,0.0144660749476576,0.0147266977695876
"X2",-0.4,-0.229073532376139,0.170926467623861,0.00350744641175487,0.0327233037461258,-0.421628906802803,-0.0216289068028027,0.0224188028490316,0.0228866124585159
