,Inflam_lympasia_minC20,Inflam_neutasia_minC20,TRD_AgeSmkEas_greS22,TRD_CigDayEas_greS22,TRD_DrnkWkEas_greS22,TRD_EA_twb,TRD_SmkCesEas_gre22,TRD_SmkInitEas_greS22,TRD_alb_twbbbj,TRD_alt_twbbbj,TRD_ast_twbbbj,TRD_bfr_twb,TRD_bmi_twbbbj,TRD_bun_twbbbj,TRD_cadasn_satK20,TRD_cardstrokeeas_aniM22,TRD_cr_twbbbj,TRD_crpasn_saoS21,TRD_dbp_twbbbj,TRD_fev_twb,TRD_fg_twbbbj,TRD_fvc_twb,TRD_ggt_twbbbj,TRD_hb_twbbbj,TRD_hba1c_twbbbj,TRD_hc_twb,TRD_hct_twbbbj,TRD_hdl_twbbbj,TRD_hr_twb,TRD_ht_twbasn,TRD_iscstrokeeas_aniM22,TRD_ldl_twbbbj,TRD_lvesstrokeeas_aniM22,TRD_malb_twb,TRD_mddasi_olgG21,TRD_plt_twbbbj,TRD_rbc_twbbbj,TRD_sbp_twbbbj,TRD_sczasn_maxL19,TRD_strokeeas_aniM22,TRD_svesstrokeeas_aniM22,TRD_t2d_twbasn,TRD_tbil_twbbbj,TRD_tc_twbbbj,TRD_ua_twbbbj,TRD_wbc_twbbbj,TRD_wc_twb,TRD_whr_twb,TRD_wt_twbbbj,TRD_tg_twbbbj
Inflam_lympasia_minC20,0.007375172354258987,0.0017960180583242499,-9.289564100361748e-05,0.0008753860442258552,0.00017622339072022848,-0.0009024132147507805,0.0017878480558901064,0.0010493706465470505,0.0006703752654955355,0.0027914290606257577,0.001781442633312862,0.0030879460475548176,0.004179496439167682,0.00021077930747754405,0.00027315625425296735,0.000510679133035037,0.0002789350481738768,0.000756114300929735,0.0017316166095935996,-0.0006108996741162793,0.0011193731128922803,-0.00033588286283027844,0.003319360271405669,0.0010702318140049106,0.0024102051831842615,0.001579732299847415,0.000964134390879179,-0.0026701577310932756,0.00018438241664976438,-0.0030963967380163975,0.0004549894078584715,0.0016690758486468805,0.00034162123861573716,0.0013393927260121597,-0.00013760784473554753,0.0037491984592938196,0.0005842778311060609,0.00206966204814456,-0.0002766085918694528,0.0006119691455621,0.00010892294682579073,0.0036908580631245616,-0.0024696310594332894,0.0011837480536825988,0.0021823649027288674,0.00943843748777872,0.001746984118459956,0.0013433893787612458,0.002500094824768541,0.003952880827240246
Inflam_neutasia_minC20,0.00179601805832425,0.00856312622387655,-0.0009839090719584703,0.0015008956280468848,-0.0005194199320457343,-0.0006920617406897632,0.0016800948079587527,0.0012867281623518772,0.00013655745500683423,0.0010275126330837635,-0.0006572140521933274,0.002982188517149485,0.0027720310355330647,0.00022443357411722822,0.0010681327781462717,0.0002850927231072723,0.0008917207722511999,0.00123205170432848,0.0015318821606022496,-2.5667475949646167e-05,0.0014752635454197583,-0.0005113342975479259,0.0012273853262972255,0.0023416400130513155,0.0016047062254812908,0.001110635917159743,0.002410162084928602,-0.004554233969024215,0.0009268512060378413,-0.0034028160473228387,0.0005559712358339977,-0.00033583150310703393,-0.000588752289168175,0.001420386354745116,-0.00039658729805803783,0.006329344982529997,0.003169832036968494,0.002569004625493565,-0.0003559186165881582,0.0006328547766498914,0.0003911162495259577,0.0021270376665128723,-0.0015833350537823598,-0.0010736033856449702,0.002295341581160269,0.015377108960573425,0.001875727880295696,0.0017815935286407754,0.0009726877477551279,0.003489283815955323
TRD_AgeSmkEas_greS22,-9.289564100361749e-05,-0.0009839090719584703,0.0017578389596933227,1.1690946845763868e-05,-0.0004544723191473498,0.0012846310146359503,-0.0010077180188916312,-0.0021905964073774776,0.000972592683246206,0.0010265977415583208,0.0013360299422057811,-0.00022431659845030367,-0.0001794210600639123,-8.585465297948965e-05,-0.00034776392658547296,-0.0007456949659784369,-0.0004754940052940971,0.0001539647307985946,-0.0004450342185963743,-0.000456210856875805,0.0001230135787183547,-0.0004667127589430706,0.0009606751813063417,0.0004923501210278933,0.00041554848742464867,0.00033316446886976744,0.00035612299823631067,0.0003661675912868219,-2.462720306054559e-05,0.0014286527456940454,-6.76818366083355e-05,0.00012819172517604025,0.0006657555312474189,0.0002310166544257174,0.00016361312694616604,8.651734734783058e-05,0.0004511968345524014,-0.00024081942143381967,0.0007731530128830291,-0.0001611564122759086,0.0002923979331501378,2.065670739524188e-05,0.0008735523486439694,0.00033566651069393,-0.00048626826212051717,-0.00015493670996676362,0.0004914866631554956,0.0002893334677785484,0.00042690101620508267,-0.0004915037167569724
TRD_CigDayEas_greS22,0.0008753860442258553,0.0015008956280468846,1.1690946845763866e-05,0.005999503135916896,0.0002822444634299793,-0.0007331354749786825,0.0013870605669080067,0.0033471602881572442,-0.0007061135826828788,0.00027122635557322165,3.944173739306642e-05,0.0012442007406643293,0.002546891349095812,-0.0002733500121921236,0.0015513292038325836,0.000787050932993841,0.0006074037994452813,0.0001168975461980547,-0.0013196540224064371,-0.00010205122983946513,-0.0004997687564532219,-0.0003130400041072427,-0.00043162884601514307,-0.0005437840812116648,0.00041700667933228247,0.0010712650113146147,-0.0003360481624283023,-0.0029904001537229977,0.00040162908722263474,0.0008568587748928005,0.00024396411824897512,0.001016289429236095,0.00010362697449831177,0.0005624744520168996,-0.00012797222960381587,0.000998967391638897,0.0002599560653748806,-0.0006096738504449421,0.0009257293208287125,-6.0898349575193566e-05,-8.578755264890381e-05,0.0013136476237386567,-0.0014493668737932694,0.00028208937995845805,0.0005813646460810024,0.0019658389838725686,0.0011183861667478107,0.0007145566982120855,0.002617364212026304,0.0023482787229135082
TRD_DrnkWkEas_greS22,0.00017622339072022848,-0.0005194199320457343,-0.00045447231914734986,0.0002822444634299793,0.008467305052039567,-0.0011177193047338847,0.0018908639817144185,0.004233936807577347,0.00025508453202667894,0.0017021140133861657,0.0032836629128921,0.0005512559003602697,0.0014264572346400495,-0.0022838619422289787,-0.0025927793748969892,0.0004565591422033981,-0.0008867175696923588,0.0006461547084210468,0.0009008968855378695,0.0008396155759850542,0.0005459386914765897,0.0015770730780593504,0.005832182191358233,0.00018420459196168923,-0.002180571076639244,0.0005313285971907517,-0.0006804952102489999,0.0023557421152904747,-0.000991543532387808,0.0008797053447813,0.0013810127089736916,-0.0020367112130670892,0.0006464560248665619,-0.0001711374991404102,-0.00040459158443758496,-0.0033328435526438415,-0.002683771623229427,0.0012290559235484538,0.00010205102909594526,0.0012402341620391308,0.0002689247967934491,-0.00028945356187425064,0.00019994847137257485,-0.0009940510219055918,0.0031737418410787113,-0.0006399918223779443,0.00022884571674983202,-0.00012397396980932908,0.0016509993054803131,-0.0005878165594436292
TRD_EA_twb,-0.0009024132147507805,-0.0006920617406897631,0.0012846310146359503,-0.0007331354749786824,-0.0011177193047338847,0.00986432524661857,-0.0013352407039701295,-0.0042120438264414955,6.848873736799549e-06,1.6807340948156464e-05,0.0006295201425858433,-0.0032107353009195004,-0.003966205397655763,-0.0006058124074776488,-0.0018440910531923916,0.00021906155087810433,-0.0010301487858545135,-0.00116000304835934,-0.0017260104037583022,0.0006393587837376518,-0.001674934830889105,6.175363596315359e-05,-0.0011758822054191494,-1.2601310298418469e-05,-0.0010852758204824978,-0.0021328289096025736,-0.0005750011055102027,0.0037581529774285026,0.00027157826581354334,-0.00016955487931914043,-0.00016213878989646292,0.0001940857453698967,0.0003014824919272655,-0.0006300297317520446,0.0006845484684285671,-0.00023697312186651912,-0.000858690232742441,-0.002179270052956768,0.0023248358352620825,-0.00043381949763302474,-0.000229939530265937,-0.002433494805167009,0.0013503776682515162,0.0007661576754116217,-0.0013755522113683292,-0.0018836122790793835,-0.002769801437138535,-0.002207369654351535,-0.003461239447935106,-0.002642431997335764
TRD_SmkCesEas_gre22,0.0017878480558901064,0.0016800948079587527,-0.0010077180188916312,0.0013870605669080067,0.0018908639817144183,-0.0013352407039701293,0.0027904623639999817,0.004642313961320131,-0.0003059869036141785,0.0009681947104437795,-1.9820331517713333e-05,0.0022245076666184203,0.0029283878052364,-0.0006183413761464616,0.00015911513985643132,-0.0005811389797750912,0.0010540987463918206,0.0005370092835693114,-2.0266796618661267e-05,0.0004053796218704606,0.0006069269559662709,-4.926723455731402e-05,0.0016533524249734953,1.8617338627822893e-05,0.000489835664091891,0.001631858337345508,0.00038023505295761446,-0.0028324378298429514,0.00012839463627504694,-0.0009468997113491745,0.00035456361558883307,9.971696285448521e-05,0.0001122914756473044,0.00025111596961887797,-0.0006919327512332961,0.00010559988681827145,0.0002534068339139412,0.00031304938700952965,-0.0007678311452848562,0.000471358624210291,-0.00013852848571429166,0.0014464523743219942,-0.0016096078427305974,-0.0004212948889867337,0.0020928854706964454,0.002971433230835494,0.0015152611404316662,0.0007986233956661795,0.002242151945280473,0.0029567770893302973
TRD_SmkInitEas_greS22,0.0010493706465470505,0.0012867281623518772,-0.0021905964073774776,0.0033471602881572442,0.004233936807577346,-0.0042120438264414955,0.00464231396132013,0.01214010819277423,-0.001890371333051017,2.2948443126522544e-05,-5.3153097434985255e-05,0.0038289765489277635,0.004392784070846691,-0.0009665034283469621,0.0012668509996384659,-0.00012515807783036202,0.0018486781761679776,0.0008250217603962626,0.0021026672561494947,0.00090921216860847,0.0009197659392089831,0.0014828627187436134,0.002881652153719841,-0.0004846245127604381,0.0002989952882133375,0.0034340300901503766,-0.0008334484253470331,-0.0018873911659915595,-5.914046067092139e-05,0.002035237704705192,0.0009013679805458599,-0.0010384847590129026,0.0002437175909639917,0.0005076228291427102,-0.000555837690029038,0.001051566320689211,-0.0011696576157022884,0.002171507934982979,-0.0012466565337649895,0.0008772821408783204,0.000270047609105888,0.0027434992810986326,-0.002966046755839881,-0.0011648780576859307,0.0020733916012351575,0.002252880814336742,0.003147233632071288,0.001587581476885574,0.004969464938637124,0.00264039094017882
TRD_alb_twbbbj,0.0006703752654955354,0.0001365574550068342,0.0009725926832462059,-0.0007061135826828788,0.00025508453202667894,6.848873736799549e-06,-0.0003059869036141785,-0.001890371333051017,0.019020894096614293,0.004312314561847335,0.003370971618154811,-0.002338360687137934,-0.005272655708833881,0.0006489566029866976,0.00037356926031930466,-0.0006289300064654185,-0.0014577034560544163,-0.0012581265999525848,0.0018911502633256899,-0.0003984843059153069,0.002145000279127069,-0.0008257088644401127,0.004869077186819442,0.0009021379427920876,0.0009646593127877586,-0.004531632285681185,0.00022341198652908297,-0.00039546799153126057,0.0015699265347208329,-0.002632290811031606,0.0003205643283500974,0.002016743947672933,-0.0009963786197632835,0.0014102200257218606,0.00044250863089745373,0.0006373769345724177,0.0003798541720029242,0.0019908990302154672,-0.00025221104042245343,0.00035283905957589026,0.0006878691372490142,0.0020254213015556554,0.002159424312575938,0.0028059775806847814,0.002183689424630807,-2.4040549467344363e-05,-0.0026207352879722354,0.0003829709544715555,-0.005996559183513812,0.004914650579582041
TRD_alt_twbbbj,0.0027914290606257572,0.0010275126330837633,0.0010265977415583208,0.00027122635557322165,0.0017021140133861655,1.6807340948156464e-05,0.0009681947104437795,2.294844312652254e-05,0.004312314561847335,0.016945092044305818,0.012541967028800513,0.004288273985569074,0.006352245842285613,0.0008923169576246871,0.0009070939738001685,-0.0007377160971588214,-0.0004952178062235572,0.0007724238876888009,0.002487869012915826,-0.000439299356141622,0.003364715101456736,-0.0007010248351072883,0.011652677213459205,0.0034261453925807615,0.002791951434162226,0.002065233078671944,0.0024387471405466913,-0.0029788049970385236,0.00028080130672029674,-0.0041112160004338075,0.0005964442737574737,0.0018706402445329874,0.00036069534789703644,0.0011843806589892341,1.7465090263251222e-05,-0.0012087824122311295,0.0026972722674698663,0.0037384703129414495,-0.0007494777077972563,0.000525537344378859,0.0008376076230517995,0.007387831808926566,0.00026669406234218934,0.0015762639077977823,0.0031591003472164515,0.00260944851360007,0.004150432278678875,0.0045638942896044496,0.004233444744151006,0.0032116017367837535
