,37_bmi_sarP19,38_whr_sarP19,40_t2d_mahA18,7_sczeur_vasT22,8_mdd_howD19,Inflam_lymp_minC20,Inflam_neut_minC20,TRD_AgeSmkEur_greS22,TRD_CAD_ukbcard,TRD_CigDayEur_greS22,TRD_DrnkWkEur_greS22,TRD_EA_jamL18,TRD_HrtRate_zhaZ19,TRD_HtEur_loiY22,TRD_SmkCesEur_gre22,TRD_SmkInitEur_greS22,TRD_alb_ukbv3,TRD_alt_ukbv3,TRD_ast_ukbv3,TRD_bfr_ukbv3,TRD_bun_ukbv3,TRD_cardstrokeeur_aniM22,TRD_cr_ukbv3,TRD_crp_sarS22,TRD_dbp_ukbv3,TRD_fev_ukbv3,TRD_fg_ukbv3,TRD_fvc_ukbv3,TRD_ggt_ukbv3,TRD_hb_ukbv3,TRD_hba1c_ukbv3,TRD_hc_ukbv3,TRD_hct_ukbv3,TRD_hdl_ukbv3,TRD_iscstrokeeur_aniM22,TRD_ldl_ukbv3,TRD_lvesstrokeeur_aniM22,TRD_malb_ukbv3,TRD_plt_ukbv3,TRD_rbc_ukbv3,TRD_sbp_ukbv3,TRD_strokeeur_aniM22,TRD_svesstrokeeur_aniM22,TRD_tbil_ukbv3,TRD_tc_ukbv3,TRD_ua_ukbv3,TRD_wbc_ukbv3,TRD_wc_ukbv3,TRD_wt_ukbv3,TRD_tg_ukbv3
37_bmi_sarP19,0.11365993541600646,0.05351951462043994,0.03539641299791573,-0.006912440184705345,0.006068891459527932,-0.00015212602694156314,-0.00046537139392591827,-0.011962043914812103,0.014013019345647972,0.017547870428016674,-0.003238982411154989,-0.0265080525882758,0.012052298764516932,-0.021307569612139823,0.012207979298416714,0.02076195480770781,-0.015091107619010653,0.020666417652766632,0.005949721346667353,0.07390618732875756,0.005541344255612173,0.0018518894877838637,0.005467519278427632,0.04217773255109916,0.0203612798854928,-0.01579177675501785,0.011779343433125733,-0.02032233350675794,0.02016554874865126,0.006162875622606155,0.021279516664606667,0.07358381786001747,0.006661376318209459,-0.03577426009350197,0.0066582343123589155,-0.004660666295493999,0.0030933734487903616,0.007178406989153625,0.0010849034485457976,0.010697896724588903,0.012348630435128322,0.006789537400954893,0.0037960932252683677,-0.010496199819393297,-0.010813656644297568,0.0284180066902992,0.01842499570452315,0.07548484084268489,0.07793862792924826,0.023300920386078693
38_whr_sarP19,0.05351951462043995,0.0723957220417621,0.030026089937215453,-0.001861774838502593,0.006827113548463096,0.008870555163575777,0.0053617955064482435,-0.010672823982262212,0.013043262358603784,0.01257292655270589,0.0010136322418164455,-0.02150673216163775,0.01362799566107656,-0.007190851771165493,0.009357399600563322,0.016991602654579916,-0.003958476532806383,0.02157104474443662,0.007056315348809889,0.04381182789944338,0.001498736247165866,0.000980099471109497,-0.0024072741120444714,0.02891311885618819,0.011890631778926105,-0.014273375087556852,0.010015209262107812,-0.017136292281155267,0.02338702185629654,0.009659782564483382,0.01900597934195394,0.02573414046303087,0.008823535010006328,-0.03238238654925626,0.005855705884001983,0.001598066998568782,0.0035602127003438655,0.005300950841053029,0.007066235690371005,0.011120796336430603,0.008523535948949267,0.005967175286573851,0.0038175050756925166,-0.008567535998798384,-0.0031759462508162326,0.020519581684721264,0.018180299920473594,0.05214414813005477,0.037541206035812014,0.030193477979229628
40_t2d_mahA18,0.03539641299791573,0.030026089937215453,0.03641412933475234,-0.0018291099978168198,0.0042628106671195026,0.0048811492828997076,0.003908034742625461,-0.005675276941713385,0.010428980835214426,0.008982245865498454,-0.002645081043986368,-0.012369209057498469,0.010906031626505254,-0.0026992539271112033,0.005330096360274183,0.00781731218131411,-0.00016886705672656646,0.016949868813374448,0.005282894785896063,0.026509332202746257,0.0034187936778968704,0.0014879184644708385,-0.0020135961484419457,0.01792001144388477,0.010577998345928957,-0.010281420117157145,0.015407289730663028,-0.012414448040264975,0.015449962408534116,0.005350089041532129,0.026440592883104373,0.021249034874614898,0.004789086273644283,-0.02270620155623642,0.0054506618243981095,-0.00342943537648121,0.0034071745934795093,0.004121842284879209,0.0012697849386077457,0.008085957334693278,0.01108121140318384,0.005420996129418066,0.0030895547750817215,-0.006239144443233485,-0.006627885605428848,0.016162185415217634,0.011754796021727132,0.028726842403744228,0.025118258257486044,0.019553349343366527
7_sczeur_vasT22,-0.006912440184705345,-0.001861774838502593,-0.0018291099978168198,0.03842306438314523,0.010669869700201232,0.002565038084419753,6.887432045717496e-05,-0.001288402394033647,-0.0011153496834554841,0.0031172489651676086,0.0033742483873027956,0.0010625781008815826,0.0008402123295372252,-0.0012506701338022615,0.003363869700063871,0.008111650931337968,0.0007914233244239318,-0.000986382561126386,0.0014107782388644234,-0.004111840230728249,-0.002939057454312952,-0.00016538776227444292,-0.0032020785194294306,-0.00279778000104857,-0.0015482972358494287,-0.0024017166884625608,-0.001678707013318485,-0.0007387862615528942,-0.001581067186326923,-0.00019582814340191713,-0.00043667304555138184,-0.005573250179389999,1.2166737794965886e-05,0.0033736260017728694,0.000758719970476762,0.0006791275117996119,0.0002951303115657227,0.000893468243822143,-0.0004116158638780107,-0.0012544546858569993,-0.0021386576421538257,0.0008990846776047031,0.0002313053988055355,-0.0011180036391141234,0.0013113532239105018,-0.0026248437996215777,0.0018442487414632963,-0.004794967557803026,-0.005743428025152533,-0.0019199685558527154
8_mdd_howD19,0.006068891459527931,0.006827113548463097,0.004262810667119502,0.010669869700201232,0.025243613141140906,0.0005018496418345543,0.0011324717836287265,-0.005123847347353107,0.004163024246491481,0.005184403353140751,0.0022366831706145517,-0.007113623979502013,0.002770464937598121,-0.004542660514867972,0.004821009644925658,0.012647924865218199,-0.0013913554674003796,0.0021895734314374463,0.0005576550618749943,0.0061377269016358324,-0.00016539391723439584,0.00018305446138038378,-0.0010726836834228648,0.004102618029786328,0.0006242682106361581,-0.003644126109409908,0.0009194379827490169,-0.0035357263993853454,0.004384782990673833,-0.0005910103084937963,0.0033698541646264395,0.0037056458443104063,-0.0007363438620759053,-0.0048197884667811304,0.0018410074213627945,-0.001269056325672002,0.0004170833498557995,0.0011873199635003676,0.0017505015635235384,-0.0007086774812746513,-6.023706069717885e-05,0.001870204829492317,0.0009973926556616534,-0.00321209581959949,-0.0016482497317972596,0.0023342651808596947,0.004528000983729641,0.006325575498040237,0.003922141851066754,0.004989412927707813
Inflam_lymp_minC20,-0.00015212602694156312,0.008870555163575777,0.0048811492828997076,0.002565038084419753,0.0005018496418345543,0.07953525462106135,0.02134737440367095,-0.0013196859258233172,0.002970659026421078,0.0010839303720369061,-0.00036092408549609587,-0.002920544729232032,0.0025739487276829945,-0.0052793583435798075,0.0018626051230820958,0.0017609481467633478,-0.0009514799891097396,0.005144429678249087,0.0006450712932227976,0.0036461795589002787,0.0014318369096503443,0.0011208304245732112,-0.002143707824257968,0.00703746168100329,0.0011195142897644753,-0.004067158623470643,0.0005043692025304106,-0.004840709701975647,0.007809542973103935,0.0041003146877675945,0.010922582341201198,-0.0023270179604724167,0.006144196601500531,-0.008331753507325778,0.0013127185288053626,0.0015739353068635726,0.0019962007239893702,0.0013542499012328044,0.01634346555878143,0.004327515178952649,0.0028037374683781164,0.0012981900109027944,0.0014701003937851224,-0.004887038747848354,0.0008012026196448724,0.006869779490011459,0.0390750640465824,0.0027242966795819777,-0.0014503944830362096,0.011683361798739007
Inflam_neut_minC20,-0.00046537139392591827,0.0053617955064482435,0.003908034742625461,6.887432045717496e-05,0.0011324717836287265,0.021347374403670953,0.062989271277258,-0.0018342770730552498,0.0029327603483844437,0.002245565519331091,-0.0023026543569623667,-0.006552213421700889,0.008211109904720548,-0.002734341672306644,0.0016004211450775657,-0.0007927742799298237,-0.0005182270115916974,-0.0008754469643164028,-0.003592855916094339,0.004723894283834922,0.0018059196912218333,0.0001708671294631896,0.002215821529220656,0.012537729580818046,0.0023128018222224756,-0.004198581173362293,-0.0007334879106931125,-0.003946369546205407,0.0024951406528409344,0.007799412926732164,0.0021432373225333027,-0.0002628660649042998,0.009320831128109025,-0.007526508676078504,0.0016466947242607544,-0.00201321629576715,0.0007930983263321092,0.002328753561794877,0.0145102378984677,0.011231041723803912,0.0053179810041148615,0.0014441148377268157,0.0016034397931169616,-0.0019830794715314445,-0.0025116363469248086,0.005325465338273164,0.04829006766585865,0.0022803330085120837,-0.0008232843733020277,0.00898107105159396
TRD_AgeSmkEur_greS22,-0.011962043914812105,-0.010672823982262212,-0.005675276941713384,-0.001288402394033647,-0.005123847347353106,-0.0013196859258233174,-0.00183427707305525,0.01454514460204811,-0.0039266141000306055,-0.006992403258712613,-0.0037238661527651553,0.018243837187706554,-0.0028661066484138675,0.005313871120493836,-0.00542219347131749,-0.019437636181378164,0.002116726277706497,-0.004160859544406122,-0.00032579879757578463,-0.010416952739913702,-0.0011343189049403191,-0.0004147495009600159,-0.00024199580124829173,-0.008010810903170103,-0.002777238764306841,0.005529529051862402,-0.0024672702937720793,0.004875557333171121,-0.006306084242707788,-0.001430455888453302,-0.005642073015756521,-0.006691696225116445,-0.0013499360067635833,0.008069757751827698,-0.0023470130034335714,0.000380793947702286,-0.0019611038583443015,-0.0013319349021279883,-0.001348491639498703,-0.001382850446629636,-0.001602890628666883,-0.002272186802886774,-0.001674230476473467,0.004175413468303697,0.0013904023451192964,-0.005169551218824836,-0.0068302026734644965,-0.010199197964318226,-0.008059870385744853,-0.0071237143536711095
TRD_CAD_ukbcard,0.014013019345647972,0.013043262358603784,0.010428980835214426,-0.0011153496834554843,0.004163024246491482,0.002970659026421078,0.0029327603483844437,-0.0039266141000306055,0.019260270610867797,0.0054290152316061584,-6.504025248295577e-05,-0.009535157251818699,0.001853413775531422,-0.011452744222380924,0.003904312067787457,0.007985931932138104,-1.5351512624562583e-05,0.008218979647220967,0.0037326343730953535,0.011216030573064053,0.001252065534455713,0.0019752724875936357,0.00038658329480813225,0.008636048096836288,0.007617179947094337,-0.006564721537394914,0.0030147090220267445,-0.007769317998735183,0.009840311868887612,0.003888014285324864,0.008611558340356597,0.006197121283168789,0.0036121745480813296,-0.009712241690185683,0.005705062512906467,0.00045713848906602514,0.0033555424327946616,0.002648770687206084,0.0023616805992719204,0.003993346206051699,0.0105115408983677,0.0056479977743248855,0.0027795930097394934,-0.002808238267148416,-0.0012820133669594865,0.007844492770494104,0.007818595650851818,0.010790780080125895,0.007071771674305264,0.008821409033183817
TRD_CigDayEur_greS22,0.017547870428016674,0.01257292655270589,0.008982245865498454,0.0031172489651676086,0.005184403353140752,0.0010839303720369061,0.002245565519331091,-0.006992403258712614,0.005429015231606159,0.024213032711833483,0.0018651936052898482,-0.010643326418377844,0.006674411568507112,-0.0022198000396550796,0.008711461096918482,0.009887545751944471,-0.0033134110017809175,0.005092609183895557,0.000923551202999513,0.014385515835659193,-0.0007218172067570347,0.0003449760456651551,-0.0012709561784256355,0.009791764441324397,0.0051779266024595165,-0.008078642090870319,0.004601920944685366,-0.007676435048533821,0.006676849200864389,0.0010286466894449445,0.008438639994380638,0.012255061476341093,0.0012008543093248657,-0.010465753255293241,0.0029203017463203754,-0.001038390339099186,0.0018230042296908386,0.002031114312292286,0.0006195592281804492,0.002251925286045271,0.003562621195952934,0.0027436094439004205,0.0016129911868955412,-0.004796495115603035,-0.0023843043789068233,0.005940421812048616,0.007628520299430442,0.01518675371313239,0.013478967192182258,0.008873520572967792
