,Inflam_lympasia_minC20,Inflam_neutasia_minC20,TRD_AgeSmkEas_greS22,TRD_CigDayEas_greS22,TRD_DrnkWkEas_greS22,TRD_EA_twb,TRD_SmkCesEas_gre22,TRD_SmkInitEas_greS22,TRD_alb_twbbbj,TRD_alt_twbbbj,TRD_ast_twbbbj,TRD_bfr_twb,TRD_bmi_twbbbj,TRD_bun_twbbbj,TRD_cadasn_satK20,TRD_cardstrokeeas_aniM22,TRD_cr_twbbbj,TRD_crpasn_saoS21,TRD_dbp_twbbbj,TRD_fev_twb,TRD_fg_twbbbj,TRD_fvc_twb,TRD_ggt_twbbbj,TRD_hb_twbbbj,TRD_hba1c_twbbbj,TRD_hc_twb,TRD_hct_twbbbj,TRD_hdl_twbbbj,TRD_hr_twb,TRD_ht_twbasn,TRD_iscstrokeeas_aniM22,TRD_ldl_twbbbj,TRD_lvesstrokeeas_aniM22,TRD_malb_twb,TRD_mddasi_olgG21,TRD_plt_twbbbj,TRD_rbc_twbbbj,TRD_sbp_twbbbj,TRD_sczasn_maxL19,TRD_strokeeas_aniM22,TRD_svesstrokeeas_aniM22,TRD_t2d_twbasn,TRD_tbil_twbbbj,TRD_tc_twbbbj,TRD_ua_twbbbj,TRD_wbc_twbbbj,TRD_wc_twb,TRD_whr_twb,TRD_wt_twbbbj,TRD_tg_twbbbj
TRD_fvc_twb,-0.039,-0.0551,-0.111,-0.0403,0.1709,0.0062,-0.0093,0.1342,-0.0597,-0.0537,0.0085,0.0641,0.0993,-0.0674,-0.062,0.0596,0.0595,-0.2128,0.067,0.9652,-0.0355,1.0,-0.065,-0.0187,-0.1087,0.3106,-0.0321,0.0238,-0.0771,0.5188,0.0531,-0.0812,0.0679,-0.0399,-0.0419,-0.1057,-0.0565,-0.0336,-0.0492,0.0331,0.0828,-0.006,0.0955,-0.0285,0.0199,-0.1201,0.2,-0.0336,0.3891,-0.0248
TRD_ggt_twbbbj,0.2171,0.0745,0.1287,-0.0313,0.356,-0.0665,0.1758,0.1469,0.1983,0.5028,0.4185,0.1947,0.1263,-0.0603,-0.0296,-0.0752,-0.0288,0.5837,0.1681,-0.063,0.1357,-0.065,1.0,0.0833,0.1034,0.0609,0.0335,-0.0915,0.0033,-0.052,0.1652,0.0687,0.3023,0.1312,-0.0078,0.0336,0.0245,0.1754,-0.0337,0.1621,0.1919,0.2116,-0.0149,0.1066,0.264,0.1097,0.189,0.2808,0.0837,0.2923
TRD_hb_twbbbj,0.0884,0.1795,0.0833,-0.0498,0.0142,-0.0009,0.0025,-0.0312,0.0464,0.1867,0.0974,0.0424,0.0123,-0.0293,0.0172,-0.1892,-0.045,-0.1447,0.0784,-0.0058,0.0096,-0.0187,0.0833,1.0,-0.0322,-0.0079,0.9465,-0.0496,0.1663,-0.0294,0.0034,0.0217,-0.2575,0.0233,-0.0351,-0.0944,0.7012,-0.0193,0.049,-0.0187,0.126,0.0753,0.1572,-0.0671,-0.0548,0.1531,0.0236,0.0565,-8.6892e-05,0.019
TRD_hba1c_twbbbj,0.1934,0.1195,0.0683,0.0371,-0.1633,-0.0753,0.0639,0.0187,0.0482,0.1478,0.0196,0.3005,0.1615,0.1265,0.1584,-0.3085,0.0646,0.1922,0.0317,-0.0569,0.6111,-0.1087,0.1034,-0.0322,1.0,0.1514,-0.0017,-0.2281,0.0941,0.0063,0.0136,0.1567,0.2028,0.1335,-0.1838,0.1219,0.1043,0.0883,-0.0719,0.0882,-0.038,0.7542,-0.2032,0.1028,0.1267,0.1575,0.2884,0.3358,0.1371,0.2458
TRD_hc_twb,0.1338,0.0873,0.0578,0.1006,0.042,-0.1562,0.2247,0.2267,-0.239,0.1154,-0.0186,0.7963,0.7974,0.0113,0.0762,-0.0376,0.0645,0.303,0.2343,0.2791,0.1404,0.3106,0.0609,-0.0079,0.1514,1.0,0.015,-0.206,-0.0707,0.3796,0.1491,0.006,0.2463,0.1662,-0.1042,-0.0083,0.0684,0.2241,-0.1079,0.2073,0.1169,0.2907,-0.0713,-0.0712,0.181,0.1198,0.8554,0.2795,0.8888,0.0963
TRD_hct_twbbbj,0.0797,0.1849,0.0603,-0.0308,-0.0525,-0.0411,0.0511,-0.0537,0.0115,0.133,0.0466,0.0484,0.0051,-0.0146,0.0261,-0.1794,-0.029,-0.1223,0.0591,-0.0128,-0.0083,-0.0321,0.0335,0.9465,-0.0017,0.015,1.0,-0.0256,0.1417,-0.0036,-0.0029,0.0352,-0.1822,0.0054,-0.0945,-0.0514,0.7642,-0.0273,0.0399,-0.0189,0.0921,0.0548,0.1047,-0.0272,-0.0785,0.1736,0.0267,0.0381,0.0092,0.0116
TRD_hdl_twbbbj,-0.1659,-0.2626,0.0466,-0.206,0.1366,0.2019,-0.2861,-0.0914,-0.0153,-0.1221,0.0705,-0.3764,-0.3137,-0.0771,-0.2716,0.053,-0.1165,-0.4397,-0.1072,0.0085,-0.2032,0.0238,-0.0915,-0.0496,-0.2281,-0.206,-0.0256,1.0,-0.0942,0.0079,-0.0195,0.1197,-0.0792,-0.1522,0.2492,-0.0394,-0.1495,-0.1617,0.1398,-0.0698,-0.0362,-0.3266,0.1572,0.3307,-0.2686,-0.2299,-0.3482,-0.3722,-0.2561,-0.6312
TRD_hr_twb,0.0212,0.0989,-0.0058,0.0512,-0.1064,0.027,0.024,-0.0053,0.1124,0.0213,-0.061,-0.0167,-0.0465,-0.1221,0.0322,-0.1987,-0.1619,0.063,0.1608,-0.0131,0.0757,-0.0771,0.0033,0.1663,0.0941,-0.0707,0.1417,-0.0942,1.0,-0.056,0.048,0.0526,0.0051,0.2032,0.1783,0.1032,0.1423,-0.012,-0.0157,0.0523,0.0283,0.1089,-0.0318,0.0283,-0.0065,0.0784,0.0393,0.1655,-0.0734,0.1441
TRD_ht_twbasn,-0.1056,-0.1077,0.0998,0.0324,0.028,-0.005,-0.0525,0.0541,-0.0559,-0.0925,-0.0944,-0.0607,-0.0547,0.013,-0.0684,0.2345,0.0962,-0.0878,0.0542,0.5009,0.0485,0.5188,-0.052,-0.0294,0.0063,0.3796,-0.0036,0.0079,-0.056,1.0,-0.009,-0.1075,0.1075,0.0256,0.0295,-0.1081,-0.0103,0.0009,-0.025,-0.0309,-0.0451,0.0187,0.0992,-0.0772,0.0123,-0.1168,0.2348,-0.0503,0.5243,-0.0538
TRD_iscstrokeeas_aniM22,0.0873,0.099,-0.0266,0.0519,0.2473,-0.0269,0.1106,0.1348,0.0383,0.0755,-0.0053,0.2093,0.2115,-0.0197,0.1337,0.6938,0.0423,0.2236,0.3789,0.0821,0.1665,0.0531,0.1652,0.0034,0.0136,0.1491,-0.0029,-0.0195,0.048,-0.009,1.0,-0.0544,1.2523,0.1684,0.1056,0.0138,0.0006,0.4409,0.035,1.0242,0.8298,0.1815,0.0439,-0.0677,0.1477,0.0669,0.1706,0.1261,0.1781,0.093
