,TRD_mddasi_olgG21,TRD_sczasn_maxL19,TRD_cadasn_satK20,TRD_t2d_twbasn,TRD_crpasn_saoS21,TRD_DrnkWkEas_greS22,TRD_AgeSmkEas_greS22,TRD_CigDayEas_greS22,TRD_SmkInitEas_greS22,TRD_SmkCesEas_gre22,TRD_EA_twb,Inflam_neutasia_minC20,Inflam_lympasia_minC20,TRD_strokeeas_aniM22,TRD_cardstrokeeas_aniM22,TRD_iscstrokeeas_aniM22,TRD_svesstrokeeas_aniM22,TRD_lvesstrokeeas_aniM22,TRD_ht_twbasn,TRD_wt_twbbbj,TRD_bmi_twbbbj,TRD_bfr_twb,TRD_wc_twb,TRD_hc_twb,TRD_whr_twb,TRD_dbp_twbbbj,TRD_sbp_twbbbj,TRD_hr_twb,TRD_wbc_twbbbj,TRD_rbc_twbbbj,TRD_hb_twbbbj,TRD_hct_twbbbj,TRD_plt_twbbbj,TRD_bun_twbbbj,TRD_cr_twbbbj,TRD_malb_twb,TRD_ua_twbbbj,TRD_tbil_twbbbj,TRD_alt_twbbbj,TRD_ast_twbbbj,TRD_ggt_twbbbj,TRD_alb_twbbbj,TRD_fev_twb,TRD_fvc_twb,TRD_fg_twbbbj,TRD_hba1c_twbbbj,TRD_tc_twbbbj,TRD_hdl_twbbbj,TRD_ldl_twbbbj,TRD_tg_twbbbj
TRD_mddasi_olgG21,0.9985305268738126,0.2332961166999029,-0.04652126931376581,-0.009605983293395503,-0.07989022646460398,0.0674931735372657,0.07944795490685894,-0.09025040165338968,0.20462098533067163,0.008065833545907496,-0.11371736715780977,-0.05473733534217556,-0.059369307323100445,-0.012566254322910262,-0.0451849468450068,-0.04699094735690294,-0.05907405510532849,-0.03739254332967888,-0.031173617602217343,-0.04048986593233414,0.028882990952525542,0.04403062063349799,0.07055971504753757,0.010802691053230472,0.08841631345501295,-0.00199140074693204,-0.031456136729173516,-0.018115274024907407,-0.0291284787029262,0.01827294663896594,-0.06882388089952748,-0.05222683356480637,-0.1540875719361387,0.10683958781689443,-0.05451231700919714,0.024257007255023874,-0.08803660730613003,-0.014930623163139048,0.05088020430543045,0.07822282140279374,0.030174554469355935,0.07479487572137715,-0.04045071162103928,-0.0687365925266416,-0.07053088901025986,-0.06752338660660817,-0.08255367791362724,-0.07240249004701327,0.00037696656120750794,-0.09740284077763706
TRD_sczasn_maxL19,0.2332961166999029,0.9860801721746351,-0.06007568399911587,-0.035898855859518526,0.010664995651604966,0.13658913947988577,0.04128326195931537,-0.04271190307440941,0.07402623491972059,-0.046996664779468345,0.10215978018098103,-0.00036646980805234174,0.046175214542640446,-0.020740479294036177,-0.027593406342961483,-0.01265842905012601,0.04153088203710779,-0.09294836335936353,0.01983962383171538,-0.03452148196399277,-0.00882410603987636,0.018528061968212235,-0.03306094896207441,-0.02605183008103517,-0.04213275853179014,-0.03144660049820478,-0.05950004796283811,-0.0004891739937691715,0.01916188794219875,-0.040689528114886055,-0.04285087228935461,-0.05078040832638101,-0.035538327834778304,-0.0367406812934373,0.03610942495807267,-0.05530412985459959,-0.051544059226682884,-0.04359209849048973,0.030334275096113156,0.09883119382704296,0.0019390935749796874,0.04968155041182095,0.06754546049861637,0.04935578697159246,0.012873154880504549,-0.05444420298395883,-0.09669371511599209,0.01817847967650095,-0.08961939532614788,-0.09468182428270698
TRD_cadasn_satK20,-0.04652126931376581,-0.06007568399911587,0.9873678506329497,0.08692477926314439,0.04797858809038877,-0.2313290974127678,-0.07636001269636512,0.09114478313520472,0.010998713173060835,0.02792865599977207,-0.037461380510937406,0.02318421035630193,0.017951419316510935,0.07790780544856295,0.07350352011991845,0.07089518409043404,0.07267862686707216,0.10312370795453649,-0.10735393444190425,-0.09316776172118801,-0.02209586143108358,-0.02914766386582875,-0.053987569301220895,-0.091923662433807,0.02771523595852254,0.1524283256385462,0.22184011959599664,-0.12504318150380422,0.06720026961620613,-0.01913330093577716,0.07591964780584143,0.03481499570700216,0.19775504757422527,0.0859473167162333,0.12221259016114251,0.0033932227442563245,0.03133839215307386,-0.04170990954985439,0.010670899576544131,-0.10236585403729219,-0.01054830439667657,-0.04034793593885311,-0.19976127340382796,-0.1603664277767032,0.08305560414578313,0.15131909426109633,0.18868434142214086,-0.05245037513116829,0.24621882886544252,0.08901723984860237
TRD_t2d_twbasn,-0.009605983293395503,-0.035898855859518526,0.08692477926314439,0.9640915702776066,0.04513960778760123,0.03104320014692385,-0.02709962616442774,0.10207854427823114,0.06213223640279527,0.059905448177042006,-0.05298971905501739,-0.009243994279720572,-0.021063357726076162,0.055425500349499966,-0.0475569464457847,0.03894435285814032,-0.010499504710812513,-0.028149877713209773,-0.026763813827879478,0.08318828053403804,0.21752653378821157,0.19859744690355668,0.23754438978892367,0.12956469519788402,0.2533143361545501,0.08990666473772832,0.1413092780749989,-0.0010284784118247407,-0.021383771250939963,-0.007738425797238518,-0.04354655638527538,-0.07798310153909731,-0.07649393308315891,0.024762279944433193,0.006783562506742472,0.008037264697720488,0.06192174376938832,-0.0755078205399717,0.1507880092725374,0.051152568433523955,0.0478130864259106,-0.018516139156183654,-0.1418688180493038,-0.14883417136065694,0.40922542354451924,0.3898709687663341,-0.14970759209541165,-0.21672186708133667,-0.09848008199682412,0.11640484095881744
TRD_crpasn_saoS21,-0.07989022646460398,0.010664995651604966,0.04797858809038877,0.04513960778760123,0.9979944397955127,0.007721542122739353,-0.0695165204218593,0.07633945107605145,0.07445885422487603,0.027779782174728988,-0.04428492272376716,0.12912251143278042,0.05641420886472297,0.004016044719111976,0.022870266824712222,-0.015381320147824335,0.005018696978661568,0.0843881172140724,-0.03438042202852755,0.0332402129285365,0.08045090249263799,0.0409418125895672,0.0843372489725073,0.08910494561602379,0.01695965894606356,0.03322687906585466,0.03403156186612633,-0.040291133447576434,0.12665390985450256,-0.01781868907289666,-0.008683860999958487,-0.041533236060400026,-0.01884820011969523,0.06096871949212162,-0.01055293850701225,0.03096490643822883,0.04279743152707839,0.014440528773618374,0.0627518250666284,0.09459486472235902,0.23111471366995254,0.018235742028676286,-0.005445986510085383,-0.042197013826870425,0.045465276687546394,0.06666712629779356,-0.0019206958788555214,-0.022489196486018204,-0.03805646769714848,0.026611309541938737
TRD_DrnkWkEas_greS22,0.0674931735372657,0.13658913947988577,-0.2313290974127678,0.03104320014692385,0.007721542122739353,0.9915326949479605,-0.04230705473768875,0.053863943365793726,0.2928861700162707,0.11072505121346797,0.11566734430586328,-0.03233985264830157,0.02015276454598017,0.13364991686106975,-0.009888501941709298,0.1262325653876689,0.05317462467695075,0.03349916505998004,-0.0005555721664872,0.038045730306808384,0.02842847447509005,0.003898691000375031,0.013212304622045269,0.03408176998550725,-0.02424216961985507,-0.026641340470495867,-0.035301867808367256,-0.02439988271919249,-0.03920874253009886,-0.14790425944465,-0.1144626961920838,-0.14026174278195322,-0.06237691502493536,-0.11245455520504863,-0.04830702042943844,-0.04418140098657749,0.012169774500947689,-0.022923842266393976,0.03597896242988773,0.13322592031618402,0.20334892674935437,-0.05853162685072328,0.09273746683142745,0.09833081959226725,0.03353813749850261,-0.037071995071776755,-0.023417706439847308,0.07082156067439382,-0.05129254122393292,-0.04015427085408317
TRD_AgeSmkEas_greS22,0.07944795490685894,0.04128326195931537,-0.07636001269636512,-0.02709962616442774,-0.0695165204218593,-0.04230705473768875,0.9982421610403069,-0.18452277135302128,-0.31066978609222823,-0.08155543435388297,0.15268110302059887,-0.11908581801661523,-0.06684283172473687,-0.06068904922435349,-0.08108801002234085,-0.07757102968031976,-0.13502711003191353,-0.09312483986294673,0.028157451855685953,-0.039022333804306676,-0.09382664984132419,0.009402240847417804,-0.0032174261915466954,0.039071020573342434,-0.10970784177567935,0.005192396217218174,0.016689885280151917,-0.0022834985166684547,-0.15380316314983283,-0.009504488655350501,-0.006220394786058694,0.01815339871861519,-0.07093233997391662,-0.014600213532271311,-0.11067315365399182,-0.06389853843694163,-0.056813360577499084,0.03971422608369813,-0.00793334188091882,0.04676711773990752,0.04198625097992296,0.1024458920007512,0.023561597364569604,0.04197399634510657,-0.008734544149092355,-0.05243466771248265,0.08595060363667567,-0.005892110605833522,0.07807920440694195,8.757165545497235e-05
TRD_CigDayEas_greS22,-0.09025040165338968,-0.04271190307440941,0.09114478313520472,0.10207854427823114,0.07633945107605145,0.053863943365793726,-0.18452277135302128,0.9940004968640829,0.14315258125280775,0.15921392096348796,-0.06723508900505393,0.09209752383092792,0.043680779480017744,0.039727629637227195,0.040498403399065463,0.050383262900039326,-0.0717672916387562,0.01745465169403209,0.039702758971130105,0.0569856791187075,0.057592554490622186,0.04996604412690197,0.1400901880994957,0.08960857753232299,0.09104454533672651,0.01744387169897974,0.06604371903580454,-0.0038630815598780345,0.10474351242899514,0.00417406183471402,-0.013375127457426136,0.0055536125842844015,-0.01606335734733,0.11055264027304823,0.010946579864226518,0.12456450048737308,0.0466500199137199,-0.046758655198755335,0.09446294321339857,0.08863636202240013,0.0015560766877387431,0.008468587264188079,-0.019759710829303233,-0.03363513688128316,0.04690526455063172,0.08814819740870061,-0.07616170905404356,-0.1208178914774486,-0.0657575884344912,0.04954005397079589
TRD_SmkInitEas_greS22,0.20462098533067163,0.07402623491972059,0.010998713173060835,0.06213223640279527,0.07445885422487603,0.2928861700162707,-0.31066978609222823,0.14315258125280775,0.9878598918072262,0.14949657229128027,-0.26871558909931903,0.09316599187932861,0.09442007667332475,0.09302521270823567,-0.01598458538129944,0.13034744709920654,0.06576677497144222,0.04047962171560451,0.026420628432263407,0.07706740565424808,0.11009331645128491,0.12308427544400515,0.1470127032116524,0.08378990193927832,0.13338835744907745,0.024389190632702402,-0.05793757179339678,0.05904356296690142,0.16336845088372995,0.00950320996893799,0.007185527072872138,0.03150533583721593,-0.02143580213150861,0.03537745610576956,-0.011125747431842477,-0.03157764405959581,0.018328984063696645,-0.11126492099355192,0.13681730520241367,0.0658143479456087,0.16173241179340797,-0.05427485165682828,-0.04246824162175947,-0.018450910471029116,0.09308894257667903,0.02191504201372726,-0.10655788061422716,-0.031997448522078836,-0.07287030782179629,-0.06200036038449442
TRD_SmkCesEas_gre22,0.008065833545907496,-0.046996664779468345,0.02792865599977207,0.059905448177042006,0.027779782174728988,0.11072505121346797,-0.08155543435388297,0.15921392096348796,0.14949657229128024,0.9972095376359995,-0.16673851231108588,0.09656301587388125,0.0453459459825695,-0.04110706099122909,-0.07375757817759211,-0.029536861950948633,-0.10083143771428271,0.032433514412814494,-0.07345948116342323,0.009517476412387026,0.055682440248539695,0.10487689852448209,0.033860626898425734,0.030423594090200488,0.031415575910565124,0.041560188283074055,0.01107603172859787,-0.043656447049075446,0.13260902281993323,0.02839636726846916,0.058789530103405575,0.030583486718643287,-0.026164968567164573,0.002688641723566962,0.07125285877915508,-0.021287073647127876,0.013755159395115853,-0.006998141537706903,-0.03146234406228318,0.014642766993758714,0.0685947112026356,0.04698720461737298,-0.08460672143911235,-0.07332967500934189,-0.04207744803256167,-0.042799276894998,-0.007940271416771066,-0.02114678411435405,0.02311079714428021,-0.0030343034460700055
